날짜,title,category,summary,img
2020-05-12,민경욱 “사전투표용지 무더기 발견… 조작 증거”,정치,"미래통합당 민경욱 의원은 자체적으로 입수한 4·15 총선 사전투표용 투표용지들을 부정 개표의 증거로 제시했다.다만, 민 의원이 이날 현장에서 공개한 종이가 실제 투표용지인지는 확인되지 않았다.중앙선거관리위원회 측은 정상적 투표용지는 선관위나 법원에서 보관하는만큼 민 의원이 제시한 투표용지가 실제 투표용지가 맞는지를 확인해봐야 한다는 기류다.",https://imgnews.pstatic.net/image/022/2020/05/12/20200511524105_20200512060309801.jpg?type=w647
2020-05-12,"배상판결 받은 웜비어 부모, 北자산 추적... 291억원 찾아냈다",정치,"북한에 억류됐다가 혼수 상태로 풀려나 지난 2017년 사망한 미국인 대학생 오토 웜비어씨 가족이 북한에 대한 책임 추궁을 계속하면서, 미국 은행 3곳에 동결돼 있던 2379만 달러 규모의 북한 관련 자산이 드러났다.미국의소리 방송이 12일 보도한 바에 따르면, 미 워싱턴DC 연방법원은 11일 북한 관련 자금을 보유한 미국 은행 3곳이 해당 자금에 대한 정보를 웜비어씨 가족에게 제공하는 것과 관련된 '보호명령''을 허가했다.이들 은행이 북한 자금에 대한 정보를 웜비어씨 가족에게 제공하더라도, 고객의 비밀 누설에 따른 법적 책임을 지지 않도록 보호해 주겠다는 뜻이다.",https://imgnews.pstatic.net/image/023/2020/05/12/2020051200716_0_20200512203302361.jpg?type=w647
2020-05-12,"선관위 ""민경욱 입수한 투표용지, 구리서 분실한 6장 맞다""",정치,민경욱 미래통합당 의원이 사전투표 조작 의혹의 증거라며 공개한 무더기 투표용지 중 일부가 실제로 선관위에서 분실한 용지로 확인됐다.하지만 사전 투표용지라는 민 의원의 주장과 달리 미리 인쇄해둔 본 투표용지로 확인되면서 투표 조작 의혹 대신 민 의원의 입수 경위에 관심이 쏠리고 있다.,https://imgnews.pstatic.net/image/025/2020/05/12/0003000099_001_20200513062517203.jpg?type=w647
2020-05-12,'재난지원금 실수로 기부했다' 취소문의 많은 이유가 있다?,경제,긴급재난지원금 신청 첫날 기부를 취소하겠다는 문의가 많았던 데에는 정부가 긴급재난지원금의 카드 신청 메뉴 안에 기부 메뉴를 설치하도록 지침을 내린 영향도 있었다는 지적이 나온다.12일 업계에 따르면 정부는 긴급재난지원금의 기부 신청 절차와 관련한 가이드라인을 각 카드사에 내려보냈다.,https://imgnews.pstatic.net/image/001/2020/05/12/AKR20200511145300002_01_i_P4_20200513140123441.jpg?type=w647
2020-05-12,[팩플]초등생 게임인데 속옷여성···이걸로 6800억 벌어간 中,경제,"최근 페이스북과 유튜브 등엔 여성의 특정 신체 부위가 노골적으로 노출되는 선정적인 게임 광고가 유통되고 있다.국내 게임업계 관계자는 소비자들은 저질 광고를 만든 회사의 국적을 알기 어렵다며 무책임한 외국 게임사들의 선정적인 광고 때문에 게임에 대한 인식이 부정적으로 흐르면, 그 피해는 고스란히 국내 업체들이 받는다고 말했다.저질 게임광고를 규제할 근거를 만들겠다는 것. 그러나 이를 바라보는 한국 게임사들의 마음은 착잡하다.",https://imgnews.pstatic.net/image/025/2020/05/12/0002999869_002_20200512140601069.jpg?type=w647
2020-05-12,"극단선택 아파트 경비원 폭행 주민 출국금지…경찰 ""소환조사""(종합)",경제,서울 강북구의 아파트 경비원이 지난 10일 주민의 갑질에 극단적 선택을 한 사건과 관련해 시민사회단체들이 가해자 처벌과 재발방지책 마련을 촉구했다.경찰은 아파트 경비원을 폭행한 것으로 알려진 주민을 이번 주에 소환해 조사하기로 했다.전국민주노동조합총연맹 민주일반연맹과 진보정당 등 여러 시민사회단체가 모여 만든 '고 최희식 경비노동자 추모모임'은 12일 오전 서울 강북구 우이동 아파트에서 추모 기자회견을 열고 이번 경비 노동자의 죽음은 개인의 비관이 아닌 사회적 타살이라고 밝혔다.,https://imgnews.pstatic.net/image/001/2020/05/12/PYH2020051209620001300_P4_20200512171818652.jpg?type=w647
2020-05-12,카드 긁었는데 '사용제한' 문자 뜨면···재난지원금 사용법 총정리,경제,11일 오전 7시부터 정부 긴급재난지원금을 신용·체크카드 포인트로 받을 수 있다.만약 사용제한업종에서 카드를 긁었을 경우 긴급재난지원금이 아닌 원래 본인의 돈이 나간다.신용카드를 사용하면 총 청구금액에서 재난지원금만큼을 깎아준다.,https://imgnews.pstatic.net/image/025/2020/05/11/0002999608_001_20200511120006338.jpg?type=w647
2020-05-12,"""샤넬 백 지금 사면 100만원 싸다""…백화점 '오픈런' 대란",경제,"이달 초 루이비통, 셀린, 티파니 등이 가격을 인상한 데 이어 샤넬도 오는 14일부터 가격을 올린다.특히 루이비통은 지난해 11월 전 세계 판매가를 인상한 데 이어 올해 3월 초에도 핸드백, 지갑, 주얼리 등의 가격을 3~5% 올렸다.최근 오픈런 대란을 일으킨 샤넬은 지난해 10월 인기 핸드백의 판매가를 80만~100만원씩 올린 데 이어 이달에도 가격 인상을 결정했다.",https://imgnews.pstatic.net/image/015/2020/05/11/0004338258_001_20200511161100999.jpg?type=w647
2020-05-12,[단독]태진아 측 “극단적 선택한 경비원에 ‘갑질’한 가해자와 무관”,사회,"아파트 입주민에게 지속적인 괴롭힘을 당했다며 극단적 선택을 한 경비원의 사연이 공개된 가운데, 가해자로 지목된 주민이 '국민 가수' 태진아 씨의 매니저라는 글이 온라인에서 빠르게 확산되고 있다.지난 10일 서울 강북구의 한 아파트에서 근무하는 경비원 A 씨는 입주민 B 씨에게 지속적인 폭행과 폭언에 시달리다 극단적인 선택을 했다.사건의 발단은 지난달 21일 이 아파트 주차장에서 일어났다.",https://imgnews.pstatic.net/image/020/2020/05/12/0003285584_001_20200512141510101.jpg?type=w647
2020-05-12,"앗, 재난지원금 신청하다가… 실수로 기부해버렸네",사회,"가구당 최대 100만원까지 주는 정부 긴급재난지원금 신청 첫날인 11일 전국적으로 총 171만6121명의 세대주가 1조1556억4500만원을 신청한 것으로 나타났다.전국의 읍·면·동 주민센터나 은행을 통한 오프라인 재난지원금 신청은 오는 18일 시작된다.하지만 이날 일부 주민센터에는 지원금 신청이나 문의를 위해 적게는 수십 명, 많게는 400여명이 몰려들었다.",https://imgnews.pstatic.net/image/023/2020/05/12/2020051200144_0_20200512150004871.png?type=w647
